"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.11"
"[Data Information]"
"Data is:","Modified"
"Sample Name:","SampleName405"
"Sample ID:","SampleID405"
"Option:","Option405"
"Analyst:","BaTiO2:S"
"Date/Time:","01/06/2024 07:00:15 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245400537SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","Emission"
"EX Wavelength:","360.0 nm"
"EM Wavelength Start:","410.0 nm"
"EM Wavelength End:","670.0 nm"
"Data Interval:","2.0 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Auto"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"AutoFile_20240106_185940 - CorrectionData"
"Wavelength nm.","Intensity"
410.0,5961.321
412.0,5918.517
414.0,5910.921
416.0,5970.635
418.0,6016.217
420.0,6145.858
422.0,6312.291
424.0,6541.127
426.0,6810.404
428.0,7204.312
430.0,7650.418
432.0,8089.068
434.0,8716.009
436.0,9411.034
438.0,10200.119
440.0,11145.160
442.0,12177.500
444.0,13324.086
446.0,14824.034
448.0,16343.729
450.0,18013.258
452.0,20093.745
454.0,22284.026
456.0,24517.120
458.0,27343.289
460.0,30368.215
462.0,33255.133
464.0,36918.889
466.0,40417.757
468.0,44178.288
470.0,48137.206
472.0,52324.890
474.0,56269.987
476.0,61125.837
478.0,65578.072
480.0,69863.147
482.0,74681.066
484.0,79035.866
486.0,83267.535
488.0,87643.384
490.0,92066.306
492.0,95845.607
494.0,99639.046
496.0,103475.288
498.0,106652.254
500.0,109753.930
502.0,113125.711
504.0,115595.248
506.0,118101.868
508.0,120153.957
510.0,122172.006
512.0,123802.791
514.0,124949.321
516.0,126042.881
518.0,126738.338
520.0,126863.234
522.0,127058.854
524.0,127035.028
526.0,126398.591
528.0,125692.242
530.0,124874.801
532.0,123400.758
534.0,121848.096
536.0,120298.439
538.0,118203.557
540.0,116264.604
542.0,114511.232
544.0,111954.882
546.0,109018.094
548.0,106710.329
550.0,104300.619
552.0,101199.992
554.0,98751.949
556.0,95709.302
558.0,92593.420
560.0,90008.586
562.0,87021.669
564.0,83862.416
566.0,80950.782
568.0,78211.083
570.0,74864.577
572.0,71886.308
574.0,69361.172
576.0,66504.056
578.0,63358.290
580.0,60886.127
582.0,58404.538
584.0,55524.915
586.0,53034.347
588.0,50606.315
590.0,48240.064
592.0,45712.533
594.0,43662.503
596.0,41411.831
598.0,39004.189
600.0,37162.398
602.0,35299.792
604.0,33191.092
606.0,31475.226
608.0,29908.664
610.0,28286.378
612.0,26716.055
614.0,25515.874
616.0,24149.624
618.0,22891.733
620.0,21924.568
622.0,20951.227
624.0,19946.887
626.0,19009.489
628.0,18119.056
630.0,17117.962
632.0,16102.944
634.0,15364.099
636.0,14423.334
638.0,13709.379
640.0,12986.581
642.0,12371.890
644.0,11679.000
646.0,11155.176
648.0,10646.815
650.0,10136.519
652.0,9637.323
654.0,9226.142
656.0,8759.594
658.0,8354.471
660.0,8038.961
662.0,7797.945
664.0,7540.608
666.0,7387.735
668.0,7214.705
670.0,7173.917
